Fund,Primary Location,Investment Sectors,Fund Type,Current Fund Size,Stage Invested,Average check size,State (if U.S.),Investment Geography,Info,URL,Linkedin,Country
Goldman Sachs Growth Equity,"New York,San Francisco Bay Area","Fintech,Cloud,Consumer,Cyber,DevOps,Enterprise,AI/ML,Diversity,Female Founders,Future of Work,Healthcare,HRTech,Insurtech,Infrastructure,Logistics,Marketplaces,Retail,SaaS,Software,Robotics,Security,Supply Chain,Technology,Travel,Wellness,Commerce,Digital Media,Community,Education,Gaming","Institutional Venture Capital (VC),Growth Equity",$5.5BN,"Growth,Series B,Series A","$25-60MM, $50k, $25MM-$200MM","NY,CA","North America,Globally,United States",,https://www.goldmansachs.com/what-we-do/investing-and-lending/growth-equity,https://www.linkedin.com/company/divergent-capital,United States
Goldman Sachs Investment Group,New York,"Fintech,Travel,Healthcare,Transportation,Sustainability","Institutional Venture Capital (VC),Growth Equity,Impact Fund",$1.25BN,"Series B,Growth","$10MM+, $30MM-$75MM",NY,"Europe,North America,Middle East,Asia",,https://www.goldmansachs.com,https://www.linkedin.com/company/dorm-room-fund,United States
Good Friends,"New York,Baltimore",All Sectors,"Institutional Venture Capital (VC),Family Office",$50MM,"PreSeed,Seed,Series A,Series B","$250k-$1MM, $1-2MM","NY,MD","Globally,North America",,https://www.goodfriends.vc,https://www.linkedin.com/company/dragonfly-capital,United States
Gore Range Capital,New York,"Healthcare,Biopharma,Biotech,Health,Life Sciences",Institutional Venture Capital (VC),$100MM,"PreSeed,Seed,Series A,Series B",$1MM,NY,"Europe,North America",,https://www.gorerangecapital.com,https://www.linkedin.com/company/copper-wire-ventures,United States
Gradient Ventures,"New Haven,New York,San Francisco Bay Area","AI/ML,Technology,Analytics,Big Data,Commerce,Data,DevOps,Data Services,Martech,Enterprise,Infrastructure,Software,Platforms,Cloud,Future of Work,SaaS","Institutional Venture Capital (VC),Corporate Venture Capital (CVC)",$400MM,"Seed,Series A,PreSeed","$2MM - $5MM, $2MM, $1MM-$10MM","CT,NY,CA","Globally,United States,Europe,Asia,LatAm,North America",,https://gradient.google,https://www.linkedin.com/company/core-innovation-capital,United States
Great Wave Ventures,New York,"PropTech,Construction Tech,Logistics,Sustainability",Institutional Venture Capital (VC),$32MM,"PreSeed,Seed,Series A",$750k-$1MM,NY,"United States,North America,Asia",,https://www.greatwavevc.com,https://www.linkedin.com/company/cowboy-ventures,United States
Green Cow Venture Capital,New York,"AgTech,AI/ML,Deep Tech,Fintech,Future of Work,Robotics","Institutional Venture Capital (VC),Venture Studio",,Seed,,NY,North America,,https://www.greencow.vc,https://www.linkedin.com/company/green-cow-venture-capital,United States
Green D Ventures (an Alumni Ventures Group fund),"Boston,San Francisco Bay Area,New York","All Sectors,Fintech,Clean Tech,Healthcare,Mobility",Institutional Venture Capital (VC),"$27MM, $30MM, $400MM","Series A,Series B,Seed","$300k, 400000, $100K-$3MM, $250K","MA,CA","North America,United States","https://www.linkedin.com/in/laurarippy/, Green D Ventures is a private,  for-profit venture capital fund for Dartmouth alumni to invest in early to growth stage companies connected to Dartmouth alumni.",https://greendventures.com,https://www.linkedin.com/company/green-d-ventures,United States
Green Meadow,New York,"Analytics,Commerce,Communication,Community,Content,Enterprise,Femtech,Fintech,Entertainment,Fitness,Food,Health,Influencer Network,Lifestyle,Marketplaces,Mobile,Consumer,SaaS,Technology,Wellness","Family Office,Angel Syndicate",,"PreSeed,Seed,Series A",$250-1MM,NY,United States,,https://greenmeadow.vc,https://www.linkedin.com/company/green-meadow-ventures,United States
Greenbacker Capital (GDEV),New York,"Clean Tech,Energy,Mobility,Sustainability","Growth Equity,Other",,Series A,$5MM - $30MM,NY,North America,https://greenbackercapital.com/greenbacker-development-opportunities/,https://greenbackercapital.com,https://www.linkedin.com/company/greenbacker,United States
Greenoaks,New York,All Sectors,Growth Equity,$15BN,"Growth,PreSeed,Seed,Series A,Series B",x,NY,Globally,,https://www.greenoaks.capital,https://www.linkedin.com/company/greenoaks-capital,United States
GreenPoint Partners,New York,"AgTech,Clean Tech,PropTech,Marketplaces,SaaS,Blockchain,Sustainability,Social Impact,Technology,Infrastructure,Enterprise,Energy,Transportation,Mobility",Growth Equity,,"Growth,Series B,Series A","4, $5MM-$10MM+",NY,Globally,,https://www.greenpointpartners.com,https://www.linkedin.com/company/greenpoint-partners,United States
Greenspring Associates,New York,All Sectors,Institutional Venture Capital (VC),,"Series A,Seed,Growth,Series B",$10MM,NY,"Europe,United States",,https://www.stepstonegroup.com/greenspring,https://www.linkedin.com/company/greenspring-associates,United States
Greycroft,"New York,Los Angeles","SaaS,Healthcare,Fintech,Food,Commerce,Enterprise,Consumer,Mobile,Infrastructure,Gaming,Adtech,Big Data,IoT,Manufacturing,All Sectors",Institutional Venture Capital (VC),"$200MM, $250M","Seed,Series A,Series B,Growth","$3-9MM,
 $10MM+","NY,CA",Globally,,https://www.greycroft.com,https://www.linkedin.com/company/greycroft,United States
GreyMatter Capital,"Atlanta,New York","Health Care Services,Healthcare,Mental Health,Health","Institutional Venture Capital (VC),Impact Fund",$30MM,"PreSeed,Seed,Series A,Growth","$250k-$750k, $1MM","GA,NY","United States,North America,Globally",,https://greymatter.vc,https://www.linkedin.com/company/greymatter-capital,United States
Grid Ventures,New York,"AI/ML,Fintech,Future of Work,Education","Accelerator Fund,Venture Studio",,"PreSeed,Seed",,NY,,,https://gridventures.com,https://www.linkedin.com/company/grid-ventures,United States
Growth Stack Inc,New York,"SaaS,Data Services,Sustainability",Growth Equity,,"Growth,Series A,Series B",$1MM,NY,"North America,United States,Europe,Globally",,https://growthstack.io,https://www.linkedin.com/company/growth-stack-inc,United States
Growth Warrior Capital,"San Francisco Bay Area,Austin,New York","Fintech,Future of Work,AI/ML,SaaS,DevOps,Enterprise,Technology,Software","Impact Fund,Institutional Venture Capital (VC)","$30MM, $40MM, $50MM-$75MM","Seed,PreSeed,Series A","$250k, $1MM - $1.5MM, $1MM-$2.5MM","CA,TX,NY","Globally,United States","Dianthe has been working in startups since 1995 and has three acquisitions under her belt. She's on the board of advisors of three seed-stage startups,  and is a mentor with Founder Institute in both Silicon Valley and Austin,  as well as a mentor with Alchemist also in Silicon Valley. She is an expert in the transformation and hyper-growth of companies,  with a focus on go-to-market activities., www.growthwarriorcapital.com",https://growthwarrior.co,https://www.linkedin.com/company/growth-warrior-capital,United States
GSV Ventures,"San Francisco Bay Area,New York","Education,Technology,Fintech",Institutional Venture Capital (VC),$300MM,"Series A,PreSeed,Seed,Series B,Growth,Secondary","$10k-15MM, $2MM","CA,NY","Globally,United States",,https://gsv.ventures,https://www.linkedin.com/company/gsv-ventures,United States
GV,New York,All Sectors,Institutional Venture Capital (VC),,"Series A,Series B,Seed",$2MM,NY,"Europe,United States",,https://gv.com,https://www.linkedin.com/company/gv,United States
H/L Ventures,"New York,San Francisco Bay Area","All Sectors,Mobility,Robotics,Clean Tech,AI/ML,AgTech,Aerospace,Construction Tech,Enterprise,Frontier Tech,Technology,Software,Social Impact","Venture Studio,Impact Fund,Corporate Venture Capital (CVC)",$50M,"Seed,PreSeed,Series A,Series B","$250K, $1MM, $500k","NY,CA","United States,Globally",We are an industry agnostic fund that focuses on companies that help promote or protect the people or the environment. I'm open to speaking to all companies and am especially interested in companies run by women and minorities.,https://hlventures.org,https://www.linkedin.com/company/h-l-ventures,"United States, United States, South Korea"
Halogen Ventures,"Los Angeles,New York,Miami","Female Founders,Consumer,Digital Media,Wellness,Retail,Media,Health,All Sectors,Care Economy,Crypto,Blockchain,Creator Economy,Education,Family Tech,Diversity,Fintech,Femtech,Healthcare,Health Care Services,Mental Health,Technology,SaaS",Institutional Venture Capital (VC),"$15MM, $30MM","PreSeed,Seed,Series A,Series B","$250k-500k, $250k, $500K - $2MM","CA,NY,FL",United States,,https://www.halogen.vc,https://www.linkedin.com/company/halogen-ventures,United States
Hanaco Ventures,New York,"Health,Fintech,AgTech,Food,Mobility,Enterprise",Institutional Venture Capital (VC),,"Growth,Seed,Series A","Seed/A $3-6m, Growth $10-15m",NY,,,https://www.hanacoventures.com,https://www.linkedin.com/company/hanaco-ventures,United States
Hannah Grey,"New York,Denver,Boston","Adtech,AI/ML,All Sectors,AR/VR,Big Data,Clean Tech,Commerce,Communication,Community,Consumer,Content,Data,Deep Tech,Digital Media,Education,Enterprise,Esports,Femtech,Fintech,Future of Work,Healthcare,HRTech,Marketplaces,Martech,Media,Retail,SaaS,Silver Tech,Sustainability,Care Economy,Mental Health,Web3,Crypto,Creator Economy,Security,Blockchain,Mobile,Robotics,Transportation",Institutional Venture Capital (VC),$52MM,"PreSeed,Seed,Series A","$400k-1MM, $400-1MM, $250k-$1MM","NY,CO",United States,,https://www.hannahgrey.com,https://www.linkedin.com/company/hannah-grey,United States
Harlem Capital,"New York,Los Angeles",All Sectors,"Impact Fund,Institutional Venture Capital (VC)","$25M, $143MM, $134MM","PreSeed,Seed,Series A","$500K, $750k, $1-2MM","NY,CA","North America,United States",,https://harlem.capital,https://www.linkedin.com/company/harlem-capital,United States
Harmonic Chain,New York,"AI/ML,Blockchain,Crypto,Infrastructure,Web3",Other,NA,"PreSeed,Seed,Series A",$30K-$50K,NY,Globally,,https://harmonicchain.com,https://www.linkedin.com/company/harmonic-chain,United States
"Hatzimemos, Libby",New York,"Diversity,Social Impact,All Sectors",Other,,"PreSeed,Seed",,NY,North America,,https://hlgroup.com,https://www.linkedin.com/company/hatzimemos-libby,United States
Headline,"San Francisco Bay Area,New York,Los Angeles","Fintech,Software,SaaS,Creator Economy,Consumer,Marketplaces,AI/ML,Commerce,Health",Institutional Venture Capital (VC),"$400MM, $410MM","Series A,Seed,Series B,Growth","$1MM - $10MM, $3MM to $15MM for early stage, $15MM to $50MM for growth, $10MM","CA,NY","Globally,North America,Europe,LatAm,Asia",,https://www.headline.com,https://www.linkedin.com/company/headline,United States
Health Enterprise Partners,New York,Healthcare,Institutional Venture Capital (VC),$190MM,Growth,,NY,United States,,https://hepfund.com,https://www.linkedin.com/company/health-enterprise-partners,United States
Healthworx,"Baltimore,Washington DC,New York","Health,Health Care Services,Healthcare,Female Founders,Diversity,Mental Health,Femtech,Wellness,SaaS",Corporate Venture Capital (CVC),$100MM,"Seed,Series A,Series B","$1MM - $5MM, $3.5MM","MD,DC,NY",North America,,https://www.healthworx.com,https://www.linkedin.com/company/healthworx,United States
Hearst Ventures,New York,"Digital Media,Data,Marketplaces,Video,Adtech,Commerce,Consumer,Fintech,Femtech,Future of Work,Workforce,Mental Health,Healthcare,Health",Corporate Venture Capital (CVC),NA,"Series A,Series B,Growth,Seed","$3-$9MM, $5MM",NY,North America,,https://www.hearstventures.com,https://www.linkedin.com/company/hearst-ventures,United States
HearstLab,"New York,San Francisco Bay Area","Digital Media,Data,Technology,Healthcare,Fintech,Transportation,Female Founders,Data Services,SaaS,Insurtech,Media,Silver Tech,Enterprise,Marketplaces,Infrastructure,Big Data,Communication,Adtech,Analytics,Consumer,Wellness,All Sectors","Corporate Venture Capital (CVC),Accelerator Fund,Impact Fund",We invest in 6-8 startups a year,"PreSeed,Seed,Series A","$250k-500k, $500k, $100k","NY,CA","United States,North America,Europe","HearstLab's mission is to close the gap in VC funding for women by helping founders build healthy,  sustainable and highly scalable businesses. In addition to financial investment,  the startups gain unrivalled access to expertise within Hearst's 360+ businesses across fintech,  healthcare,  transportation,  consumer media,  enterprise software,  and data analytics. Startups will be given assistance with privacy and security, legal services, and branding,  marketing,  advertising and editorial support. They will also benefit from the guidance and support of HearstLab Scouts,  women leaders across Hearst’s global businesses and Fitch. HearstLab has a full-time dedicated team assisting with UI/UX,  DevOps engineering,  data security,  data science,  business development,  market research and recruiting.",https://www.hearstlab.com,https://www.linkedin.com/company/hearstlab,United States
Helium-3 Ventures,New York,All Sectors,Institutional Venture Capital (VC),,"Growth,Seed,Series B,Series A,PreSeed",Varies depending on stage,NY,"Europe,United States",,https://www.helium3.vc,https://www.linkedin.com/company/helium-3-ventures,United States
Hercules Capital,"New York,San Francisco Bay Area,Boston","AgTech,Adtech,Big Data,Clean Tech,Cloud,Technology,Fintech,Insurtech,Hardware,Martech,SaaS,Software,Social Impact,3D Printing,HRTech,Diagnostics,Health,Health Care Services,Mental Health,Biopharma,Life Sciences","venture debt,Evergreen Fund","Also writing smaller equity checks ($1M-$5M) to existing portfolio companies, Several funds,  ~$3BN AUM","Growth,Series B","$5MM-300MM+ , typically around $20MM-$50MM upfront, Up to $300MM","NY,CA,MA","Europe,North America,Globally,United States",,https://www.htgc.com,https://www.linkedin.com/company/hercules-capital,United States
High Alpha Innovation,"New York,Hartford","SaaS,Enterprise,AgTech,Healthcare,Sustainability,Big Data,All Sectors",Venture Studio,,"Growth,PreSeed","$500k, $500k-$1MM","NY,CT","North America,United States",,https://www.highalphainnovation.com,https://www.linkedin.com/company/high-alpha-innovation,United States
Highland Capital Partners,"Boston,New York",All Sectors,"Institutional Venture Capital (VC),Growth Equity,Other",$225MM,"Series A,Series B,Growth","$10-25MM, $10MM",MA,"United States,North America",,https://www.highlandcapital.com,https://www.linkedin.com/company/highland-capital-partners,United States
Highmark Ventures,New York,Healthcare,Corporate Venture Capital (CVC),$200MM,"Series A,Series B,Growth",$5MM-$15MM,NY,United States,,https://highmarkventures.com,https://www.linkedin.com/company/highmark-ventures,United States
Hivemind Capital,New York,"Blockchain,Crypto,Web3",Institutional Venture Capital (VC),$1.5BN,"Seed,Series A,Growth",$250k-$10MM,NY,Globally,,https://www.hivemind.capital,https://www.linkedin.com/company/hivemind-capital,United States
Hof Capital,New York,Enterprise,Family Office,$50MM,"Seed,Series A",$250-500k,NY,,,https://www.hofcapital.com,https://www.linkedin.com/company/hof-capital,United States
Honeycomb,New York,All Sectors,Family Office,$5MM,"PreSeed,Seed,Series A","Less than $250k
 $250-500k",NY,,,https://www.honeycomb.vc,https://www.linkedin.com/company/honeycomb,United States
HorizonVC,New York,"Technology,SaaS,Software",,$44MM,"PreSeed,Seed",$500K-$1MM,NY,Globally,,https://www.horizonvc.com,https://www.linkedin.com/company/horizonvc,United States
HSCM Ventures,New York,"Fintech,Insurtech,IoT,Software","Institutional Venture Capital (VC),Evergreen Fund",,"Series A,Series B",$10-20MM,NY,North America,,https://www.hscm.com/ventures,https://www.linkedin.com/company/hscm-ventures,United States
Hum Capital,New York,All Sectors,Fundraising Platform,,Series A,$2MM,NY,,,https://www.humcapital.com,https://www.linkedin.com/company/hum-capital,United States
Human Ventures,New York,"All Sectors,Healthcare,Mental Health,Health,Health Care Services,Future of Work,Media,Community",Institutional Venture Capital (VC),,"PreSeed,Seed,Series A,Series B","$250-500k,
 $500-$1MM, $100k",NY,United States,Part of my is advising founders so happy to speak to any founders in the community.,https://www.human.vc,https://www.linkedin.com/company/human-ventures,United States
